País,Fecha,Incidente
 Togo República del Congo Angola,"2010, 8 de enero",Ataque a la Selección de fútbol de Togo
 Estados Unidos,"2010, 18 de febrero",Atentado aéreo en Austin de 2010
 Rusia,"2010, 29 de marzo",Atentados del metro de Moscú de 2010
 Estados Unidos,"2010, 1 de mayo",Atentado fallido de Times Square de 2010
 Uganda,"2010, 11 de julio",Atentados de Kampala de 2010
 Colombia,"2010, 12 de agosto",Atentado al edificio de Caracol Radio
 México,"2010, 22-23 de agosto",Masacre de San Fernando de 2010
 Irak,"2010, 31 de octubre",Atentado contra la iglesia cristiana de Bagdad en 2010
 Suecia,"2010, 11 de diciembre",Atentados de Estocolmo de 2010
 Egipto,"2011, 1 de enero",Atentado de Alejandría de 2011
 Rusia,"2011, 22 de enero",Atentado del Aeropuerto Internacional de Moscú-Domodédovo de 2011
 Bielorrusia,"2011, 11 de abril",Atentado del Metro de Minsk de 2011
 Guatemala,"2011, 15 de mayo",Masacre en Petén
 Noruega,"2011, 22 de julio",Atentados de Noruega de 2011
 Israel,"2011, 18 de agosto",Atentados terroristas en el sur de Israel de 2011
 México,"2011, 25 de agosto",Atentado de Monterrey de 2011
 Bélgica,"2011, 13 de diciembre",Masacre de Lieja de 2011
 Nigeria,"2011, 25 de diciembre",Atentados de Nigeria de diciembre de 2011
 Francia,"2012, 11-19 de marzo",Tiroteos de Mediodía-Pirineos de 2012
 Colombia,"2012, 15 de mayo",Atentado contra Fernando Londoño
 Italia,"2012, 19 de mayo",Atentado de Brindisi de 2012
 México,"2012, 29 de junio",Atentado contra la alcaldía de Nuevo Laredo
 Bulgaria,"2012, 18 de julio",Atentado terrorista en el aeropuerto de Burgas
 Pakistán,"2012, 21 de julio",Atentado en Spen Khawri de 2012
 Estados Unidos,"2012, 5 de agosto",Tiroteo en templo sij de Wisconsin en 2012
 Líbano,"2012, 19 de octubre",Atentado en Beirut de 2012
 Estados Unidos,"2012, 14 de diciembre",Masacre de la Escuela Primaria de Sandy Hook
 Pakistán,"2013, 10 de enero",Atentados del 10 de enero de 2013 en Pakistán
 Turquía Estados Unidos,"2013, 1 de febrero",Atentado a la embajada de Estados Unidos en Ankara de 2013
 Estados Unidos,"2013, 15 de abril",Atentado de la maratón de Boston
 Reino Unido,"2013, 22 de mayo",Asesinato de Woolwich de 2013
 Kenia,"2013, 21 de septiembre",Tiroteo y secuestro en el centro comercial Westgate
 México,"2013, 28 de octubre","Ataque contra instalaciones eléctricas en el estado de Michoacán, México"
 Rusia,"2013, 29 y 30 de diciembre",Atentados de Volgogrado de diciembre de 2013
 China,"2014, 1 de marzo",Atentado en Kunming de 2014
 Nigeria,"2014, 14 de abril",Atentado de Abuya de 2014
 Bélgica,"2014, 24 de mayo",Tiroteo en el Museo Judío de Bélgica
 Chile,"2014, 9 de septiembre",Atentado de Santiago de Chile de 2014
 Canadá,"2014, 22 de octubre",Tiroteo en el parlamento canadiense de 2014
 República Dominicana,"2014, 27 de octubre",Atentado en el metro de Santo Domingo de 2014
 Nigeria,"2014, 10 de noviembre",Atentado en la escuela de Potiskum
 Australia,"2014, 14 de diciembre, 15 de diciembre",Crisis de rehenes en Sídney de 2014
 Pakistán,"2014, 16 de diciembre",Ataque en la escuela de Peshawar de 2014
 Francia,"2014, 20 de diciembre, 21 de diciembre, 22 de diciembre",Atentado de Dijon de 2014Atentado de Nantes de 2014Atentado de la estación de policía de Tours de 2014
 Nigeria,"2015, 2 de enero-7 de enero",Masacre de Baga de 2015
 Turquía,"2015, 6 de enero",Atentado suicida de Estambul de 2015
 Francia,"2015, 7 de enero-9 de enero",Atentados de enero de 2015 en Francia
 Dinamarca,"2015, 14 de febrero, 15 de febrero",Atentados de Copenhague de 2015
 Túnez,"2015, 18 de marzo",Ataque al Museo Nacional del Bardo
 Kenia,"2015, 2 de abril",Ataque yihadista en la Universidad de Garissa
 Estados Unidos,"2015, 3 de mayo",Atentado contra la AFDI en Garland
 Macedonia del Norte,"2015, 9 de mayo-10 de mayo",Combate de Kumanovo
 Estados Unidos,"2015, 17 de junio",Masacre de la iglesia de Charleston
 Francia Túnez Kuwait Somalia Siria,"2015, 27 de junio",Ola de ataques terroristas en todo el mundo en junio
 Nigeria,"2015, 2 de julio",Atentados en Nigeria por Boko Haram
 Colombia,"2015, 2 de julio",Atentados en Bogotá por el ELN
 Estados Unidos,"2015, 8 de julio",Tiroteo en la Universidad de Maryland
 Estados Unidos,"2015, 16 de julio",Atentado en Chattanooga
 Turquía,"2015, 20 de julio",Atentado de Suruç
 Tailandia,"2015, 17 de agosto",Atentado de Bangkok de 2015
 Francia,"2015, 21 de agosto",Atentado del tren Thalys de 2015
 Nigeria,"2015, 20 de septiembre",Atentado múltiple de Boko Haram en el noreste de Nigeria
 Yemen,"2015, 24 de septiembre",Atentado en la mezquita de Saná
